confidence,edge_id,example_title,provenance,provider_version,relation,source_document,source_path,source_type,support_count,target_path,target_type,annotator_1_valid,annotator_2_valid,notes
0.55,ref:aws_ec2_transit_gateway_connect.->aws_ec2_transit_gateway_vpc_attachment.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_transit_gateway_connect,1,id,aws_ec2_transit_gateway_vpc_attachment,,,
0.55,ref:aws_s3_access_point.->aws_vpc.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3_access_point,1,id,aws_vpc,,,
0.55,ref:aws_chatbot_slack_channel_configuration.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_chatbot_slack_channel_configuration,1,id,aws_iam_role,,,
0.55,ref:aws_grafana_license_association.->aws_grafana_workspace.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_grafana_license_association,1,id,aws_grafana_workspace,,,
0.55,ref:aws_kinesis_firehose_delivery_stream.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_kinesis_firehose_delivery_stream,1,id,aws_s3_bucket,,,
0.55,ref:aws_kms_replica_key.->aws_kms_key.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_kms_replica_key,1,id,aws_kms_key,,,
0.55,ref:aws_elastic_beanstalk_environment.->aws_elastic_beanstalk_application.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_elastic_beanstalk_environment,1,id,aws_elastic_beanstalk_application,,,
0.55,ref:aws_vpc_endpoint_connection_accepter.->aws_security_group.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_endpoint_connection_accepter,1,id,aws_security_group,,,
0.55,ref:aws_timestreamquery_scheduled_query.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_timestreamquery_scheduled_query,1,id,aws_iam_role,,,
0.55,ref:aws_connect_lambda_function_association.->aws_connect_instance.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_connect_lambda_function_association,1,id,aws_connect_instance,,,
0.55,ref:aws_eks_node_group.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_eks_node_group,1,id,aws_iam_role,,,
0.55,ref:aws_ec2_transit_gateway_multicast_domain.->aws_vpc.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_transit_gateway_multicast_domain,1,id,aws_vpc,,,
0.55,ref:aws_kendra_data_source.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_kendra_data_source,1,id,aws_iam_role,,,
0.55,ref:aws_devicefarm_network_profile.->aws_devicefarm_project.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_devicefarm_network_profile,1,id,aws_devicefarm_project,,,
0.55,ref:aws_ssoadmin_permissions_boundary_attachment.->aws_ssoadmin_permission_set.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ssoadmin_permissions_boundary_attachment,1,id,aws_ssoadmin_permission_set,,,
0.55,ref:aws_kms_grant.->aws_kms_key.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_kms_grant,1,id,aws_kms_key,,,
0.55,ref:aws_glue_dev_endpoint.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_glue_dev_endpoint,1,id,aws_iam_policy_document,,,
0.55,ref:aws_rds_export_task.->aws_iam_policy_document.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_rds_export_task,1,id,aws_iam_policy_document,,,
0.55,ref:aws_vpn_connection.->aws_vpn_gateway.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpn_connection,1,id,aws_vpn_gateway,,,
0.55,ref:aws_ecs_task_execution.->aws_ecs_task_definition.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ecs_task_execution,1,id,aws_ecs_task_definition,,,
0.55,ref:aws_sesv2_configuration_set_event_destination.->aws_pinpoint_app.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sesv2_configuration_set_event_destination,1,id,aws_pinpoint_app,,,
0.55,ref:aws_cloud9_environment_membership.->aws_iam_user.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloud9_environment_membership,1,id,aws_iam_user,,,
0.55,ref:aws_memorydb_multi_region_cluster.->aws_security_group.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_memorydb_multi_region_cluster,1,id,aws_security_group,,,
0.55,ref:aws_elasticsearch_domain.->aws_caller_identity.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_elasticsearch_domain,1,id,aws_caller_identity,,,
0.55,ref:aws_bedrock_model_invocation_logging_configuration.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_bedrock_model_invocation_logging_configuration,1,id,aws_iam_role,,,
0.55,ref:aws_wafv2_web_acl_association.->aws_api_gateway_deployment.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_wafv2_web_acl_association,1,id,aws_api_gateway_deployment,,,
0.55,ref:aws_bedrockagent_agent_collaborator.->aws_partition.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_bedrockagent_agent_collaborator,1,id,aws_partition,,,
0.55,ref:aws_msk_cluster.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_msk_cluster,1,id,aws_s3_bucket,,,
0.55,ref:aws_api_gateway_integration.->aws_api_gateway_method.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_api_gateway_integration,1,id,aws_api_gateway_method,,,
0.55,ref:aws_auditmanager_assessment.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_auditmanager_assessment,1,id,aws_iam_role,,,
0.55,ref:aws_lambda_provisioned_concurrency_config.->aws_lambda_alias.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_lambda_provisioned_concurrency_config,1,id,aws_lambda_alias,,,
0.55,ref:aws_fis_experiment_template.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_fis_experiment_template,1,id,aws_iam_role,,,
0.55,ref:aws_ec2_transit_gateway_vpc_attachment.->aws_subnet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_transit_gateway_vpc_attachment,1,id,aws_subnet,,,
0.55,ref:aws_flow_log.transit_gateway_id->aws_ec2_transit_gateway.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,transit_gateway_id,aws_flow_log,1,id,aws_ec2_transit_gateway,,,
0.55,ref:aws_bedrock_custom_model.->aws_iam_role.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_bedrock_custom_model,1,id,aws_iam_role,,,
0.55,ref:aws_codeartifact_domain_permissions_policy.->aws_codeartifact_domain.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_codeartifact_domain_permissions_policy,1,id,aws_codeartifact_domain,,,
0.55,ref:aws_cloudformation_stack_set_instance.->aws_cloudformation_stack_set.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloudformation_stack_set_instance,1,id,aws_cloudformation_stack_set,,,
0.55,ref:aws_s3_object.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3_object,1,id,aws_s3_bucket,,,
0.55,ref:aws_apigatewayv2_stage.->aws_apigatewayv2_api.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_apigatewayv2_stage,1,id,aws_apigatewayv2_api,,,
0.55,ref:aws_elasticache_replication_group.kms_key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,kms_key_id,aws_elasticache_replication_group,1,id,aws_kms_key,,,
0.55,ref:aws_cloud9_environment_ec2.->aws_eip.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloud9_environment_ec2,1,id,aws_eip,,,
0.55,ref:aws_sfn_state_machine_versions.->aws_sfn_state_machine.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sfn_state_machine_versions,1,id,aws_sfn_state_machine,,,
0.55,ref:aws_sagemaker_device_fleet.kms_key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,kms_key_id,aws_sagemaker_device_fleet,1,id,aws_kms_key,,,
0.55,ref:aws_cognito_user_pool_client.->aws_pinpoint_app.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cognito_user_pool_client,1,id,aws_pinpoint_app,,,
0.55,ref:aws_s3_bucket_lifecycle_configuration.->aws_s3_bucket_versioning.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3_bucket_lifecycle_configuration,1,id,aws_s3_bucket_versioning,,,
0.55,ref:aws_vpc_endpoint.->aws_subnet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpc_endpoint,1,id,aws_subnet,,,
0.55,ref:aws_s3control_access_grant.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3control_access_grant,1,id,aws_s3_bucket,,,
0.55,ref:aws_alb_listener_certificate.listener_arn->aws_lb_listener.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,listener_arn,aws_alb_listener_certificate,1,id,aws_lb_listener,,,
0.55,ref:aws_sfn_alias.->aws_sfn_state_machine.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sfn_alias,1,id,aws_sfn_state_machine,,,
0.55,ref:aws_db_instance.->aws_rds_orderable_db_instance.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_db_instance,1,id,aws_rds_orderable_db_instance,,,
0.55,ref:aws_s3_bucket_server_side_encryption_configuration.->aws_kms_key.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_s3_bucket_server_side_encryption_configuration,1,id,aws_kms_key,,,
0.55,ref:aws_appautoscaling_target.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_appautoscaling_target,1,id,aws_iam_role,,,
0.55,ref:aws_sagemaker_workteam.->aws_cognito_user_pool_domain.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_sagemaker_workteam,1,id,aws_cognito_user_pool_domain,,,
